Hindi,French
में (mẽ),In (mẽ)
है (hai),Is (hai)
हैं (ha͠i),Are (ha͠i)
नहीं (nahī̃),No (nahī̃)
लिए (lie),For (lie)
गया (gayā),Gaya (gayā)
तथा (tathā),And (tathā)
अपने (apne),Apne (apne)
कुछ (kuch),Some (kuch)
साथ (sāth),With (sāth)
होता (hotā),Hotha (hotā)
था (thā),Was (thā)
दिया (diyā),Diya (diyā)
हुए (hue),Hue
कोई (koī),Somebody (koī)
रूप (rūp),Form (rūp)
से (se),From (se)
मैं (ma͠i),I (ma͠i)
रहा (rahā),Raha (rahā)
हुआ (huā),Hua (huā)
बात (bāt),Bāt)
कहा (kahā),Said (kahā)
समय (samay),Time (samay)
क्या (kyā),What (kyā)
अपनी (apnī),Your (apnī)
होती (hotī),Happiness (hotī)
प्रकार (prakār),Type (Prakār)
बहुत (bahut),Very (bahut)
तरह (tarah),Like (Tarah)
बाद (bād),Subsequent (bād)
फिर (phir),Again (Phir)
रहे (rahe),Rahe (rahe)
द्वारा (dvārā),By (dvārā)
अधिक (adhik),More (Adhik)
रही (rahī),Rahi (rahī)
होने (hone),Hone (hone)
एवं (evã),And (ev hee)
हुई (huī),Hui (HUī)
थे (the),Were (the)
उनके (unke),His (unke)
थी (thī),Thi (thī)
वाले (vāle),Wale (vāle)
चाहिए (cāhie),Want (cāhie)
दिन (din),Day (din)
लेकिन (lekin),But (lekin)
काम (kām),Kama (kām)
हूँ (hū̃),Hoon (hū̃)
होते (hote),Hote
इसके (iske),Its (ISKE)
उन्हें (unhẽ),They (unhẽ)
गये (gaye),Gaye
कभी (kabhī),Ever (kabhī)
आदि (ādi),Adi (ādi)
लोग (log),People (log)
बार (bār),Bar (bār)
यहाँ (yahā̃),Here (yahā̃)
दोनों (donõ),Both (donõ)
उन्होंने (unhonne),He (Unhonne)
कार्य (kārya),Work (kārya)
पास (pās),Pass (pās)
वहाँ (vahā̃),There (vahā̃)
भारत (bhārat),India (bhārat)
लिया (liyā),Lia (liyā)
प्राप्त (prāpt),Received (prāpt)
उनकी (unkī),His (unkī)
लोगों (logõ),People (logõ)
गयी (gayī),Gaya (gayī)
लगा (lagā),Laga (lagā)
अन्य (anya),Other (anya)
होगा (hogā),Will be (hogā)
इसी (isī),This (ISī)
देश (deś),Country (deś)
यदि (yadi),If (yadi)
सभी (sabhī),All (sabhī)
नाम (nām),Name (nām)
वर्ष (varṣ),Year (Varṣ)
ऐसा (aisā),Such (aisā)
विकास (vikās),Vikās)
अपना (apnā),Apna (apnā)
ऐसे (aise),Such (AISE)
दूसरे (dūsre),Second (dūsre)
हाथ (hāth),Hand (hāth)
भाषा (bhāṣā),Language (bhāṣā)
मेरे (mere),Mere (Mere)
मैंने (mainne),I (mainne)
तुम (tum),You (tum)
बीच (bīc),Beach (BīC)
वाली (vālī),Wali (vālī)
बड़े (baṛe),Big (baṛe)
प्रति (prati),Per (prati)
व्यक्ति (vyakti),Person (vyakti)
उनका (unkā),His (unkā)
लिये (liye),Liye
इसलिए (islie),Therefore (islie)
तीन (tīn),Three (Tīn)
इसका (iskā),Its (iskā)
ऐसी (aisī),Such (AISī)
विशेष (viśeṣ),Special (viśeṣ)
बड़ी (baṛī),Big (baṛī)
अथवा (athvā),Or (Athvā)
भाग (bhāg),Part (bhāg)
क्योंकि (kyoṅki),Because (kyoṅki)
सिंह (sĩh),Singh (sĩh)
ठीक (ṭhīk),Fine (ṭhīk)
स्थिति (sthiti),Status (sthiti)
परन्तु (parantu),But (paratu)
स्थान (sthān),Location (sthān)
यही (yahī),This is (yahī)
क्यों (kyõ),Why (kyõ)
गाँव (gā̃v),Village (gā̃v)
राज्य (rājya),State (rājya)
अलग (alag),Separate (alag)
लेकर (lekar),Lakar (lekar)
अभी (abhī),Now (abhī)
इसमें (ismẽ),In it (ISMẽ)
विभिन्न (vibhinna),Various (vibhinna)
सी (sī),C (sī)
विचार (vicār),Thought (vicār)
जिस (jis),Jis (JIS)
बाहर (bāhar),Out (bāhar)
ऊपर (ūpar),Up (ūpar)
बना (banā),Bani (banā)
तैयार (taiyār),Ready (taiyār)
अनेक (anek),Many (anek)
सामने (sāmne),Sāmne)
शिक्षा (śikṣā),Education (śikṣā)
शरीर (śarīr),Body (śarīr)
होकर (hokar),Via (Hokar)
दृष्टि (dŕṣṭi),Vision (dŕṣṭi)
श्री (śrī),Shri (śRī)
थीं (thī̃),Were (thī̃)
दूर (dūr),Distant (dūR)
शब्द (śabd),Word (śABD)
ध्यान (dhyān),Meditation (dhyān)
चार (cār),Char (cār)
मेरी (merī),Mary (merī)
बड़ा (baṛā),Bada (baṛā)
पता (patā),Address (patā)
लगता (lagtā),Laga (lagtā)
आगे (āge),Ahead (āge)
किया (kiyā),Ki (kiyā)
उत्तर (uttar),Answer (uttar)
किन्तु (kintu),But (kintu)
आने (āne),Come (āne)
लगे (lage),Lage
लगभग (lagbhag),Almost (lagbhag)
इसे (ise),It (ise)
लाख (lākh),Lakh (lākh)
बारे (bāre),About (bāre)
होना (honā),Hona (Honā)
इससे (isse),With this (ISSE)
मात्रा (mātrā),Quantity (mātrā)
अध्ययन (adhyayan),Adhyayan
वाला (vālā),Wala (vālā)
जिसमें (jismẽ),In which (jismẽ)
नीचे (nīce),Below (nīce)
अर्थ (arth),Artha
लोक (lok),Lok (Lok)
आवश्यक (āvaśyak),Essential (āvaśyak)
हो (ho),Ho (HO)
माँ (mā̃),Mother (mā̃)
छोटे (choṭe),Small (Choṭe)
प्रतिशत (pratiśat),Percent (prati)
शुरू (śurū),Start (śurū)
अगर (agar),If (agar)
इतना (itnā),So much (itnā)
आया (āyā),Aya (āyā)
होगी (hogī),Will be (Hogī)
मिल (mil),Mill
स्वयं (svayã),Self (svayã)
रात (rāt),Raat (rāt)
बिना (binā),(Binā)
हमें (hamẽ),Us (hamẽ)
उपयोग (upyog),Use (upyog)
किए (kie),Ki (Kie)
महत्वपूर्ण (mahatvapūrṇ),Important (mahatvapūrṇ)
मुख्य (mukhya),Main (mukhya)
साल (sāl),Year (sāl)
ज्यादा (jyādā),More (jyādā)
साहित्य (sāhitya),Literature (sāhitya)
पूर्व (pūrv),East (PūRV)
निर्माण (nirmāṇ),Construction (nirmāṇ)
विषय (viṣay),Subject (viṣay)
जिससे (jisse),Due to which (JISSE)
देख (dekh),See (dekh)
चित्र (citra),Picture (CITRA)
लगी (lagī),Lag (lagī)
प्रत्येक (pratyek),Each (Pratyek)
मनुष्य (manuṣya),Manuṣya (manuṣya)
गई (gaī),Gaya (gaī)
स्पष्ट (spaṣṭ),Clear (spaṣṭ)
दिनों (dinõ),Days (dinõ)
रंग (raṅg),Color (raṅg)
इसकी (iskī),Its (ISKī)
स्तर (star),Star (Star)
मेरा (merā),Mera (merā)
दूसरी (dūsrī),Second (dūsrī)
अच्छा (acchā),Good (acchā)
रोग (rog),Rog (Rog)
काल (kāl),Kaal (kāl)
अच्छी (acchī),Good (Acchī)
विज्ञान (vigyān),Science (vigyān)
भाई (bhāī),Brother (bhāī)
ज्ञान (gyān),Knowledge (gyān)
दिल्ली (dillī),Delhi (dillī)
बनाने (banāne),Banāne)
रुपये (rupye),Rupee (Rupye)
रखा (rakhā),Raised (rakhā)
आवश्यकता (āvaśyaktā),Need (āvaśyaktā)
आता (ātā),Come (ātā)
